"","X","person","day","cause_short","month","year","canine","dept_name","state","position"
"52",9303,"Policeman Eusebio Sanchez-Perez","Sun","Gunfire","Mar",1937,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"53",9511,"Policeman Rodrigo Rodriguez-Torres","Thu","Gunfire","Mar",1938,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"54",9589,"Captain Rafael Igaravidez-Falcon","Sat","Gunfire","Jul",1938,FALSE,"Puerto Rico Police Department"," PR","Captain"
"55",9600,"Policeman Vidal E. Torres-Melendez","Tue","Gunfire","Aug",1938,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"56",9693,"Policeman Gustavo Rosado-Velez","Thu","Gunfire","Apr",1939,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"57",9879,"Policeman Jose A. Silva-Montanez","Tue","Gunfire","Sep",1940,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"58",9941,"Police Officer Arthur Smart","Wed","Vehicular assault","Feb",1941,FALSE,"Panama Canal Zone Police Department"," CZ","Police Officer"
"59",9984,"Policeman Fermin Alicea-Jusino","Sun","Gunfire","Jun",1941,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"60",10079,"Policeman Miguel A. Ortiz-Salgado","Wed","Gunfire","Dec",1941,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"61",10098,"Policeman Julio Del Valle-Gomez","Sun","Gunfire","Jan",1942,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"62",10302,"Policeman Juan R. Longoria-Torres","Sat","Gunfire","Nov",1943,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"63",10319,"Policeman Ernesto Torres-Rivera","Sat","Gunfire","Jan",1944,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"64",10391,"Policeman Efrain Sosa-Almeyda","Sun","Gunfire","Oct",1944,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"65",10491,"Police Officer Samuel Violin","Tue","Vehicular assault","Aug",1945,FALSE,"Panama Canal Zone Police Department"," CZ","Police Officer"
"66",10535,"Chief of Police Francisco Rios-Morales","Tue","Gunfire","Jan",1946,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"67",10553,"Policeman Lorenzo Maldonado-Velez","Tue","Automobile accident","Feb",1946,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"68",10569,"Sergeant Conrado Burgos-Garcia","Tue","Gunfire","May",1946,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"69",10607,"Captain Jacinto Alvarez-Alvarez","Wed","Gunfire","Aug",1946,FALSE,"Puerto Rico Police Department"," PR","Captain"
"70",10609,"Detective Angel L. Collazo-Mendoza","Sat","Gunfire","Aug",1946,FALSE,"Puerto Rico Police Department"," PR","Detective"
"71",10626,"Policeman Rafael A. Pacheco-Velez","Wed","Automobile accident","Sep",1946,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"72",10737,"Policeman Felipe Masso-Rivera","Fri","Gunfire","May",1947,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"73",10765,"Policeman Harry Maldonado-Freytes","Sat","Gunfire","Aug",1947,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"74",10788,"Policeman Sergio V. Rodriguez-Detres","Tue","Gunfire","Oct",1947,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"75",10919,"Policeman Longino Camacho-Rosario","Sun","Gunfire","Sep",1948,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"76",10936,"Policeman Enrique M. Ruiz-Reyes","Wed","Gunfire","Nov",1948,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"77",10962,"Captain Saturnino Rosa-Velez","Sat","Gunfire","Jan",1949,FALSE,"Puerto Rico Police Department"," PR","Captain"
"78",11038,"Policeman Encarnacion Perez-Aulet","Sat","Struck by vehicle","Sep",1949,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"79",11165,"Chief of Police L.C. Aurelio Ismael Miranda-Rivera","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Chief of Police"
"80",11166,"Policeman Jesus Feliciano-Rivera","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"81",11167,"Policeman Virgilio Camacho-Reyes","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"82",11168,"Policeman Luis Rivera-Cardona","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"83",11169,"Policeman Dionisio Rivera-Yolistruck","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"84",11170,"Corporal Ramon Robles-Castillo","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Corporal"
"85",11171,"Lieutenant Ramon Villanueva-Moro","Mon","Gunfire","Oct",1950,FALSE,"Puerto Rico Police Department"," PR","Lieutenant"
"86",11181,"Lieutenant Primitivo Casiano-Jusino","Tue","Gunfire","Dec",1950,FALSE,"Puerto Rico Police Department"," PR","Lieutenant"
"87",11241,"Policeman Olimpio Rodriguez-Merced","Tue","Gunfire","Jun",1951,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"88",11246,"Policeman Julio Rodriguez-Torres","Sat","Accidental","Jun",1951,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"89",11268,"Detective Rafael Cotto-Casillas","Sun","Gunfire","Aug",1951,FALSE,"Puerto Rico Police Department"," PR","Detective"
"90",11326,"Policeman Luis J. Pardo-Cruz","Sun","Stabbed","Dec",1951,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"91",11481,"Policeman Jose A. Munero-Saez","Tue","Stabbed","Apr",1953,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"92",11781,"Policeman Armando Vizcarrondo","Mon","Automobile accident","Jun",1955,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"93",11857,"Policeman Fidel Rivera-Mayol","Wed","Vehicular assault","Feb",1956,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"94",12009,"Policeman Jose M. Crespo-Arce","Thu","Gunfire","Jun",1957,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"95",12010,"Policeman Domingo Salicrup-Gonzalez","Thu","Gunfire","Jun",1957,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"96",12064,"Policeman George F. Nadeau, Sr.","Thu","Vehicular assault","Oct",1957,FALSE,"Panama Canal Zone Police Department"," CZ","Police Officer"
"97",12197,"Policeman Jose Nunez-Kiles","Thu","Gunfire","Dec",1958,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"98",12274,"Policeman Rosendo Torres-Pabon","Fri","Gunfire","Sep",1959,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"99",12342,"Chief of Police Dennis Titla, Sr.","Tue","Gunfire","Apr",1960,FALSE,"San Carlos Apache Tribal Police Department"," TR","Chief of Police"
"100",12372,"Sergeant Marcelo Cacho-Pares","Sat","Automobile accident","Jul",1960,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"101",12373,"Policeman Luis E. Santiago-Quinonez","Sat","Gunfire","Jul",1960,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"102",12401,"Policeman Virgilio Sanchez-Pinzon","Sat","Stabbed","Sep",1960,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"103",12449,"Police Officer Jesus Martinez-Gabino","Tue","Gunfire (Accidental)","Dec",1960,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"104",12493,"Officer Ishkoten Koteen","Mon","Gunfire","May",1961,FALSE,"Jicarilla Apache Tribal Police Department"," TR","Police Officer"
"105",12540,"Policeman Angel Cordero-Roman","Mon","Bomb","Aug",1961,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"106",12674,"Detective Wilfredo Batistini-Vega","Sat","Automobile accident","Jul",1962,FALSE,"Puerto Rico Police Department"," PR","Detective"
"107",12714,"Policeman Eugenio Vigo-Rodriguez","Sat","Gunfire","Oct",1962,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"108",12732,"Policeman Felix Castrodad-Melendez","Tue","Automobile accident","Dec",1962,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"109",12752,"Policeman Alex Couture","Sun","Assault","Feb",1963,FALSE,"Flathead Indian Nation Police Department"," TR","Police Officer"
"110",12824,"Patrolman Leopold E. Fredericks","Wed","Motorcycle accident","Aug",1963,FALSE,"Virgin Islands Police Department"," VI","Patrolman"
"111",12950,"Policeman Gustavo Cedres-Soto","Sat","Automobile accident","Jul",1964,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"112",12993,"Policeman Neftali Feliciano-Colon","Sat","Automobile accident","Oct",1964,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"113",12994,"Policeman Angel M. Torres-Ortiz","Sat","Automobile accident","Oct",1964,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"114",12995,"Conservation Officer Francisco Malijan Isezaki","Sat","Gunfire","Oct",1964,FALSE,"Guam Department of Agriculture - Division of Aquatic and Wildlife Resources"," GU","Police Officer"
"115",13045,"Patrolman Leroy Alvaro Swan","Fri","Motorcycle accident","Feb",1965,FALSE,"Virgin Islands Police Department"," VI","Patrolman"
"116",13062,"Policeman Candelario Torres-Vazquez","Sat","Automobile accident","Apr",1965,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"117",13120,"Policeman Gabriel Vargas-Hernandez","Fri","Gunfire","Sep",1965,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"118",13179,"Policeman Francisco Fermaint-Medina","Thu","Stabbed","Feb",1966,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"119",13254,"Police Officer I Juan Mafnas Santos","Fri","Gunfire","Jul",1966,FALSE,"Guam Police Department"," GU","Police Officer"
"120",13270,"Policeman Efrain Alejandro-Rivera","Sun","Automobile accident","Aug",1966,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"121",13476,"Policeman Angel R. Fuentes-Ortiz","Thu","Automobile accident","Oct",1967,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"122",13559,"Policeman Pedro M. Rios-Perez","Thu","Automobile accident","Feb",1968,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"123",13624,"Sergeant Jose E. Gonzalez-Irizarry","Wed","Automobile accident","Jul",1968,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"124",13720,"Sergeant Jose A. Perez-Morales","Sat","Gunfire","Dec",1968,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"125",13939,"Sergeant Quintin Velez-Figueroa","Mon","Gunfire","Jan",1970,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"126",14086,"Sergeant Victor M. Rodriguez-Ramirez","Thu","Gunfire","Sep",1970,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"127",14201,"Policeman Jose L. Machin-Delgado","Sun","Gunfire","Feb",1971,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"128",14213,"Lieutenant Colonel Juan B. Mercado-Vega","Thu","Gunfire","Mar",1971,FALSE,"Puerto Rico Police Department"," PR","Lieutenant"
"129",14214,"Sergeant Miguel A. Rosario-Rondon","Thu","Gunfire","Mar",1971,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"130",14275,"Patrolman Rudel Albert Parrott","Thu","Automobile accident","Jul",1971,FALSE,"Virgin Islands Police Department"," VI","Patrolman"
"131",14339,"Sergeant Victor Lastra-Rivera","Sat","Gunfire","Oct",1971,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"132",14357,"Patrolman Allan Williams","Fri","Gunfire (Accidental)","Oct",1971,FALSE,"Virgin Islands Police Department"," VI","Patrolman"
"133",14440,"Policeman Daniel Moya-Ramos","Sun","Stabbed","Feb",1972,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"134",14474,"Policeman Carlos M. Carrer-Rivera","Tue","Gunfire (Accidental)","Apr",1972,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"135",14556,"Policeman Jose E. Marquez-Guisao","Thu","Automobile accident","Aug",1972,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"136",14559,"Patrolman Wilfredo Ortiz-Alvarada","Mon","Gunfire","Sep",1972,FALSE,"Puerto Rico Police Department"," PR","Patrolman"
"137",14703,"Policeman Habacuc Laracuente-Pacheco","Thu","Gunfire","Mar",1973,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"138",14735,"Policeman Wilfredo Rivera-Cintron","Wed","Gunfire","May",1973,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"139",14742,"Policeman Adolfo Andino-Solis","Fri","Gunfire","May",1973,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"140",14823,"Officer Roy Richard Bradshaw","Mon","Gunfire","Aug",1973,FALSE,"Colville Tribal Police Department"," TR","Police Officer"
"141",14830,"Policeman Hector Rosa-Feliciano","Sat","Automobile accident","Sep",1973,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"142",14888,"Detective Jorge Luis Sierra-Vazquez","Mon","Gunfire","Nov",1973,FALSE,"Puerto Rico Police Department"," PR","Detective"
"143",14890,"Special Agent Pedro Pinero-Castro","Fri","Gunfire","Nov",1973,FALSE,"Puerto Rico Police Department"," PR","Special Agent"
"144",14956,"Policeman Angel C. Vargas-Vargas","Mon","Gunfire","Feb",1974,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"145",15043,"Policeman Atilano Garcia-Mendez","Sun","Gunfire","Jun",1974,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"146",15046,"Policeman Hector Maldonado-Berly","Mon","Gunfire","Jun",1974,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"147",15084,"Investigator Fidel Angel Rijos-Gomez","Mon","Gunfire","Jul",1974,FALSE,"Puerto Rico Police Department"," PR","Investigator"
"148",15123,"Policeman Anibal Loperena-Soto","Thu","Gunfire","Sep",1974,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"149",15146,"Policeman Eleuterio Maldonado-Afanador","Sat","Stabbed","Oct",1974,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"150",15212,"Policeman Rafael Iglesias-Nieva","Sun","Drowned","Jan",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"151",15260,"Sergeant Rafael R. Rivera-Rivera","Sun","Gunfire (Accidental)","Mar",1975,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"152",15277,"Special Agent Wilmer Fuentes-Villanueva","Fri","Gunfire","Apr",1975,FALSE,"Puerto Rico Police Department"," PR","Special Agent"
"153",15282,"Policeman Ismael Cruz-Torres","Thu","Automobile accident","May",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"154",15285,"Policeman Jose M. Valentin-Hernandez","Sun","Drowned","May",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"155",15293,"Policeman Rafael Hernandez-Vazquez","Sat","Gunfire","May",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"156",15334,"Policeman Tomas Vega-Vazquez","Sun","Gunfire","Jul",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"157",15368,"Officer Abraham Figueroa Roman","Sun","Gunfire","Sep",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"158",15389,"Policeman Rafael Perez-Ortega","Tue","Gunfire","Oct",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"159",15401,"Investigator Felix Angel Cruz-Rivera","Thu","Gunfire","Oct",1975,FALSE,"Puerto Rico Police Department"," PR","Investigator"
"160",15404,"Patrolman Patrick Emmanuel Sweeney","Mon","Gunfire","Oct",1975,FALSE,"Virgin Islands Police Department"," VI","Patrolman"
"161",15411,"Policeman Salvador Cortes-Colon","Fri","Gunfire","Nov",1975,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"162",15417,"Police Officer Burton Begay","Mon","Gunfire","Nov",1975,FALSE,"Navajo Division of Public Safety"," TR","Police Officer"
"163",15455,"Policeman Luis E. Baez-Alicea","Thu","Gunfire","Jan",1976,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"164",15558,"Policeman Luis M. Cruz-Acosta","Tue","Gunfire","Jul",1976,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"165",15563,"Policeman Eduardo J. Bigas-Mendez","Thu","Gunfire","Jul",1976,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"166",15603,"Policeman Ramon Santiago-Colon","Fri","Gunfire","Oct",1976,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"167",15671,"Policeman William Serrano-Maldonado","Fri","Automobile accident","Feb",1977,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"168",15675,"Policeman Andres Rivera-Carrasquillo","Tue","Gunfire","Feb",1977,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"169",15734,"Police Officer I Francisco Aguon Reyes","Thu","Drowned","Jun",1977,FALSE,"Guam Police Department"," GU","Police Officer"
"170",15765,"Patrolman Wilbur Horatio Francis","Sat","Gunfire","Jul",1977,FALSE,"Virgin Islands Police Department"," VI","Patrolman"
"171",15868,"Agent Angel M. Martinez","Tue","Automobile accident","Feb",1978,FALSE,"Puerto Rico Police Department"," PR","Agent"
"172",15872,"Policeman Manuel Martinez","Fri","Automobile accident","Feb",1978,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"173",15888,"Lieutenant Angel L. Colon-Alicea","Sun","Automobile accident","Feb",1978,FALSE,"Puerto Rico Police Department"," PR","Lieutenant"
"174",15923,"Policeman Gilberto Rolon-Gonzalez","Thu","Gunfire","May",1978,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"175",15980,"Policeman Roberto Barbosa-Ortiz","Fri","Gunfire","Jul",1978,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"176",15993,"Policeman Julio Ramon Rodriguez-Rivera","Thu","Gunfire","Aug",1978,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"177",16026,"Policeman Celestino Solivan-Almedina","Wed","Gunfire","Oct",1978,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"178",16049,"Police Officer III Tomas Mendiola Sablan","Sun","Drowned","Dec",1978,FALSE,"Guam Police Department"," GU","Police Officer"
"179",16051,"Policeman Nestor Luis Rivas-Santana","Sun","Gunfire","Dec",1978,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"180",16131,"Sergeant Loren Whitehat","Thu","Gunfire","May",1979,FALSE,"Navajo Division of Public Safety"," TR","Sergeant"
"181",16194,"Policeman Angel F. Vargas-Flores","Wed","Motorcycle accident","Aug",1979,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"182",16205,"Policeman Secundino Morales-Maldonado","Thu","Gunfire (Accidental)","Aug",1979,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"183",16241,"Agent Rafael Vazquez-Santiago","Thu","Gunfire","Oct",1979,FALSE,"Puerto Rico Police Department"," PR","Agent"
"184",16263,"Policeman Maximo Luis Ortiz-Castillo","Wed","Gunfire","Dec",1979,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"185",16279,"Policeman Victor L. Lopez-Rivera","Sat","Gunfire","Dec",1979,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"186",16282,"Reserve Officer Helen Kuulei Lizama","Wed","Gunfire","Dec",1979,FALSE,"Guam Police Department"," GU","Police Officer"
"187",16283,"Reserve Officer Rudy Caingat Iglesias","Wed","Gunfire","Dec",1979,FALSE,"Guam Police Department"," GU","Police Officer"
"188",16330,"Policeman Jorge Luis Molina-Pacheco","Sat","Gunfire","Apr",1980,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"189",16335,"Game Warden Nelson Onepennee","Fri","Automobile accident","Apr",1980,FALSE,"Yakama Nation Tribal Police Department"," TR","Warden"
"190",16375,"Sergeant José M. Aponte-Torres","Tue","Motorcycle accident","Jun",1980,FALSE,"Puerto Rico Police Department"," PR","Sergeant"
"191",16383,"Policeman Jose Ramon Osorio-Vazquez","Fri","Gunfire","Jun",1980,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"192",16417,"Policeman Jose Cabrera-Santiago","Wed","Gunfire","Sep",1980,FALSE,"Puerto Rico Police Department"," PR","Police Officer"
"193",16462,"Agent Angel Miranda-Oyola","Wed","Gunfire","Nov",1980,FALSE,"Puerto Rico Police Department"," PR","Agent"
"194",16463,"Agent Miguel Calderon-Cardona","Wed","Gunfire","Nov",1980,FALSE,"Puerto Rico Police Department"," PR","Agent"
